epoch,train_loss,val_mean_dice,val_dice_Cochlea_L,val_dice_Cochlea_R,val_dice_Parotid_L,val_dice_Parotid_R
0,1.0357941478331458,0.21927109360694885,0.0,0.0,0.6779072880744934,0.19917705655097961
1,0.6585185449178631,0.3673848509788513,0.0,0.0,0.7614151239395142,0.7081243395805359
2,0.732688200691592,0.17033018171787262,0.0,0.0,0.0,0.6813207268714905
3,0.6633553385814244,0.3768189549446106,0.0,0.0,0.7607910633087158,0.7464847564697266
4,0.5794380868315272,0.38256174325942993,0.0,0.0,0.7612079381942749,0.7690390944480896
5,0.5692972742459353,0.37434929609298706,0.0,0.0,0.7478468418121338,0.7495504021644592
6,0.5578077319916503,0.3746083378791809,0.0,0.0,0.7707564234733582,0.7276768684387207
7,0.5452096247979159,0.38332265615463257,0.0,0.0,0.7761449813842773,0.7571457028388977
8,0.5258544734836873,0.3854309320449829,0.0,0.0,0.7733702063560486,0.7683534622192383
9,0.5475577098747413,0.3783693313598633,0.0,0.0,0.7803330421447754,0.7331442832946777
10,0.6196003189034853,0.18248237669467926,0.0,0.0,0.0,0.729929506778717
11,0.5298594429478076,0.3921414613723755,0.0,0.0,0.7811940908432007,0.7873717546463013
12,0.5274881470762525,0.3884318470954895,0.0,0.0,0.7717357873916626,0.7819915413856506
13,0.5354734305126356,0.38576555252075195,0.0,0.0,0.7775894999504089,0.7654727697372437
14,0.5137407595886053,0.3508880138397217,0.0,0.0,0.634358286857605,0.7691938281059265
15,0.5098878270788733,0.3960416316986084,0.0,0.0,0.7887688875198364,0.7953976392745972
16,0.5043869992840949,0.3935433626174927,0.0,0.0,0.7884312272071838,0.7857422828674316
17,0.5062102906724667,0.39496910572052,0.0,0.0,0.7921769022941589,0.7876995205879211
18,0.49574147693069115,0.3952716588973999,0.0,0.0,0.7929998636245728,0.7880867719650269
19,0.5069415285094324,0.3940121829509735,0.0,0.0,0.7893958687782288,0.7866528630256653
20,0.5029674812142012,0.38613682985305786,0.0,0.0,0.7781699895858765,0.7663772702217102
21,0.4967564920332024,0.3932892978191376,0.0,0.0,0.7877662181854248,0.7853909730911255
22,0.4988694665638096,0.3902243375778198,0.0,0.0,0.7744802236557007,0.7864171862602234
23,0.4933101663917117,0.39178138971328735,0.0,0.0,0.7863900661468506,0.780735433101654
24,0.47347466422513845,0.39158928394317627,0.0,0.0,0.7864599823951721,0.7798972129821777
25,0.4574363830759989,0.39363768696784973,0.0,0.0,0.7922068238258362,0.7823439240455627
26,0.44951556587538644,0.392311692237854,0.0,0.0,0.7895148992538452,0.7797318696975708
27,0.44207972320005856,0.3932703733444214,0.0,0.0,0.791265606880188,0.7818159461021423
28,0.43735064036891846,0.3938407003879547,0.0,0.0,0.7904412150382996,0.7849215865135193
29,0.43106585140995773,0.39342737197875977,0.0,0.0,0.7907625436782837,0.7829468846321106
